City,Country,Latitude,Longitude,Wind Speed (mph),Temperature (Fahrenheit),Humidity,Visibility,Pressure
sept-iles,CA,50.2,-66.38,6.93,41.0,65,90,1007
venado tuerto,AR,-33.75,-61.97,3.0,59.0,78,100,1004
vardo,NO,70.37,31.11,2.24,33.8,93,75,1003
singaraja,ID,-8.11,115.09,1.21,84.24,64,0,1011
avera,US,33.19,-82.53,5.82,73.87,44,1,1014
kang,BW,-23.68,22.79,6.6,61.63,19,0,1018
rabaul,PG,-4.2,152.17,4.34,84.02,73,14,1010
minuri,PH,16.54,121.86,0.54,87.76,59,99,1012
banyumas,ID,-7.51,109.29,1.1,83.05,73,0,1011
cauquenes,CL,-35.97,-72.32,4.09,54.82,65,100,1019
hualmay,PE,-11.1,-77.61,10.96,68.36,81,91,1016
gazojak,TM,41.19,61.4,6.73,67.44,57,100,1009
saint anthony,US,45.02,-93.22,12.75,55.27,45,1,1017
superior,US,46.72,-92.1,6.93,47.41,46,90,1019
qingyuan,CN,23.7,113.03,6.71,83.39,69,75,1010
saint-francois,FR,46.42,3.91,2.84,50.0,93,90,1018
magadan,RU,59.57,150.8,26.06,33.4,89,100,1005
enna,IT,37.56,14.29,5.1,56.98,85,62,1012
kankan,GN,10.39,-9.31,8.7,82.74,59,99,1009
reconquista,AR,-29.15,-59.65,4.97,64.8,56,100,1014
kingsville,US,27.52,-97.86,17.22,82.27,65,75,1011
padang,ID,-0.95,100.35,3.15,82.99,70,1,1010
union,US,40.63,-74.27,4.56,71.83,38,1,1004
vasilevo,MK,41.48,22.64,1.01,53.01,64,100,1007
palmer,US,42.16,-72.33,1.79,60.67,53,12,1001
sakakah,SA,29.97,40.21,12.75,75.2,15,20,1013
christchurch,NZ,-43.53,172.63,6.93,63.75,59,100,992
pangnirtung,CA,66.15,-65.71,2.04,10.17,91,97,1008
taoudenni,ML,22.68,-3.98,11.86,89.37,12,0,1008
iquitos,PE,-3.75,-73.25,4.7,75.2,94,40,1010
praya,CV,14.92,-23.51,17.22,73.4,78,0,1015
ratnagiri,IN,16.98,73.3,5.03,79.72,84,0,1010
raahe,FI,64.68,24.48,4.7,35.42,93,0,1005
bartica,GY,6.4,-58.62,4.7,80.6,88,75,1012
seda,LV,57.65,25.75,1.01,42.01,95,35,1010
chemin grenier,MU,-20.49,57.47,8.05,75.2,88,40,1017
kholmogory,RU,64.22,41.66,4.47,42.8,93,75,1006
iringa,TZ,-7.77,35.7,5.68,54.43,60,2,1016
daru,PG,-9.08,143.21,15.35,83.48,79,100,1010
kindersley,CA,51.47,-109.17,17.22,51.8,87,90,1011
teya,RU,60.38,92.63,6.22,47.39,74,100,1005
premia de mar,ES,41.49,2.37,1.19,62.83,88,5,1016
innisfail,AU,-17.53,146.03,9.15,73.76,67,95,1017
marathon,US,44.9,-89.77,14.99,51.01,40,1,1015
aklavik,CA,68.22,-135.01,6.93,21.2,62,5,1028
sfantu gheorghe,RO,45.87,25.78,1.01,46.6,94,100,973
coquimbo,CL,-29.95,-71.34,3.36,57.2,87,0,1014
fukuma,JP,33.77,130.47,5.82,66.78,93,75,1007
luderitz,NA,-26.65,15.16,15.84,63.9,68,20,1016
moose factory,CA,51.26,-80.61,11.41,23.0,79,90,1018
marsh harbour,BS,26.54,-77.06,9.51,74.53,61,0,1019
nioro,GM,13.35,-15.75,6.35,73.44,51,0,1009
teknaf,BD,20.86,92.31,4.29,80.67,76,39,1011
arroyo,ES,41.61,-4.8,6.93,55.29,81,88,1016
mbala,ZM,-8.84,31.37,6.96,59.5,57,24,1016
san pedro,PH,14.35,121.02,8.05,88.95,70,75,1011
harper,LR,4.38,-7.72,5.79,80.58,86,100,1011
ixtapa,MX,20.7,-105.2,9.17,79.79,69,75,1010
tuatapere,NZ,-46.13,167.68,12.06,46.6,85,100,998
shingu,JP,33.73,135.98,3.36,68.0,82,75,1007
northam,GB,51.03,-4.22,2.86,48.67,99,100,1017
maumere,ID,-8.62,122.21,6.2,83.75,68,28,1012
beroroha,MG,-21.67,45.17,1.39,66.25,58,0,1017
hay river,CA,60.82,-115.8,13.87,44.6,65,40,1015
cabedelo,BR,-6.98,-34.83,5.82,77.0,94,8,1014
kingisepp,RU,59.37,28.61,2.89,43.47,85,100,1011
novaya bryan,RU,51.72,108.27,4.47,48.2,61,0,1015
tooele,US,40.53,-112.3,8.05,62.11,33,40,1016
aboso,GH,5.36,-1.95,2.71,77.14,89,100,1010
balkhash,KZ,46.84,74.98,5.95,57.4,57,0,1014
isabela,PH,6.71,121.97,3.36,84.2,79,75,1011
irricana,CA,51.32,-113.6,24.16,55.51,30,75,1007
touros,BR,-5.2,-35.46,3.36,78.8,88,40,1013
anori,BR,-3.77,-61.64,1.72,76.55,95,100,1011
kousseri,CM,12.08,15.03,9.17,84.2,58,99,1008
talcahuano,CL,-36.72,-73.12,2.13,55.4,93,100,1019
troitsko-pechorsk,RU,62.71,56.2,5.14,27.77,96,19,1023
bardiyah,LY,31.76,25.09,8.12,62.89,84,0,1011
douentza,ML,15.0,-2.95,4.92,84.45,12,0,1007
kavaratti,IN,10.57,72.64,11.03,85.64,80,48,1009
maiduguri,NG,11.85,13.16,5.77,85.66,36,91,1007
ambanja,MG,-13.68,48.45,3.09,74.64,87,100,1014
kibondo,TZ,-3.59,30.72,1.97,58.89,62,0,1015
bara,NG,10.37,10.73,8.84,83.17,60,66,1007
maniitsoq,GL,65.42,-52.9,12.68,32.07,97,100,999
vanavara,RU,60.34,102.28,7.72,44.55,60,88,1013
rudnogorsk,RU,57.26,103.75,2.93,44.1,71,30,1016
zemio,CF,5.03,25.14,3.06,70.09,75,0,1009
athabasca,CA,54.72,-113.29,11.92,61.83,43,100,1007
clyde river,CA,70.47,-68.59,8.05,12.2,72,1,1004
porto novo,BJ,6.5,2.6,3.36,78.8,88,40,1011
kontagora,NG,10.4,5.47,3.8,82.87,53,71,1009
piacabucu,BR,-10.41,-36.43,6.2,78.69,82,87,1015
corum,TR,40.5,34.75,4.47,47.39,66,100,1006
casian,PH,11.04,119.71,14.83,84.51,79,96,1010
anadyr,RU,64.75,177.48,2.24,23.0,92,90,1023
san matias,BO,-16.37,-58.4,4.21,75.24,55,69,1012
san carlos de bariloche,AR,-41.15,-71.31,16.11,46.4,70,75,1012
tucuma,BR,-0.18,-50.05,4.94,77.47,91,38,1012
ndele,CF,8.41,20.65,5.88,78.98,46,35,1008
affery,CI,6.32,-3.96,2.95,74.68,95,100,1011
guerrero negro,MX,27.98,-114.06,21.65,67.19,70,0,1013
mirnyy,RU,62.54,113.96,2.24,42.8,26,55,1016
sola,VU,-13.88,167.55,7.72,78.8,94,90,1012
tabuk,PH,17.42,121.44,6.73,85.28,64,36,1012
kunashak,RU,55.7,61.55,11.18,32.0,77,0,1023
adilcevaz,TR,38.8,42.73,4.7,50.0,57,40,1016
hun,LY,29.13,15.95,4.92,64.45,46,0,1017
tagusao,PH,9.19,117.81,0.94,86.0,70,79,1010
itamaraju,BR,-17.04,-39.53,4.21,69.66,87,42,1018
